"Card name","Network (as per public naming)","Joining & annual fee / waiver","Rewards: base vs accelerated (with known caps)","Lounge access (domestic / international, spend criteria)","Fuel surcharge waiver & forex markup"
"Flipkart Axis Bank Credit Card","Not stated (Visa/Mastercard variant; network not in public summaries) axis.bank+1","₹500 + GST joining; ₹500 + GST annual. Annual fee waived on ₹3.5 lakh annual spends in preceding card year (per recent fee table).axis.bank+1","Up to 5% cashback on Flipkart & Cleartrip, 7.5% on Myntra, 4% on partners (Swiggy, Uber, PVR etc.), 1% on other spends; cashback typically uncapped on Flipkart/Myntra, general merchant caps as per MITC.axis.bank","4 domestic airport lounge visits per year; no explicit quarterly spend number in public summary (spend‑based eligibility applies, refer MITC).axis.bank+2","1% fuel surcharge waiver at selected fuel outlets (exact monthly cap not publicly summarised); forex markup within Axis portfolio band 1.5–3.5% (card‑specific % only in MITC).axis.bank+1"
"Axis My Zone Credit Card","Not stated (network not specified) axis.bank+1","₹500 + GST joining & annual; occasional “lifetime‑free” promotional issuance for select customers.axis.bank+2","Base: 4 EDGE Reward Points per ₹200 (≈0.4%). Accelerated: BOGO movie offers, Swiggy discount, partner offers; no explicit points multiplier beyond base; caps mainly on partner offers (e.g. Swiggy ₹120 off twice a month).axis.bank+1","Complimentary domestic lounge access: typically 1 visit per quarter, subject to minimum spend requirement (exact threshold only in MITC).axis.bank+1","Fuel surcharge waiver mentioned for certain spends; specific % and cap only in MITC. Forex markup within 1.5–3.5% Axis band.axis.bank+1"
"IndianOil Axis Bank RuPay Credit Card","RuPay (explicitly named “RuPay”) axis.bank","₹500 + GST joining & annual.axis.bank+1","Accelerated: 20 Reward Points per ₹100 on fuel at IOCL pumps; 5 RP/₹100 on online shopping; base: 1 EDGE Point/₹100 on other spends. Category caps per month are defined in MITC (not in public summary).axis.bank","No lounge access mentioned in public summaries.axis.bank","Fuel benefit via high reward rate on IOCL fuel plus surcharge waiver; detailed waiver cap not summarised publicly. Forex markup not card‑specific in sources; assumed within 1.5–3.5% Axis range.axis.bank+1"
"Axis Bank Horizon Credit Card","Not stated (Visa/Mastercard variants; network not in summary) axis.bank+1","₹3,000 + GST joining & annual; Nil for eligible Burgundy Savings Account holders.axis.bank+2","5 EDGE Miles per ₹100 on Axis Travel EDGE portal & airline websites; 2 EDGE Reward Points on other eligible spends.axis.bank","Complimentary domestic & international lounges; Visa variant often up to 8 visits per quarter, but precise visit counts and any spend thresholds are documented only in MITC.axis.bank+1","Fuel surcharge waiver mentioned as part of travel benefits; exact %/cap in MITC. Forex markup in general 1.5–3.5%; card‑specific figure not public.axis.bank+2"
"Axis Bank Neo Credit Card","Not stated (network not specified) axis.bank+1","Currently marketed as lifetime‑free (“Joining Fee: NIL, Annual Fee: NIL”) for new to credit customers, with promotional caveats for existing cardholders.axis.bank+1","Base: 1 EDGE Reward Point/₹200 (≈0.1%). Additional value from brand discounts (Zomato, Blinkit, Myntra, BookMyShow) rather than multipliers; benefit caps per partner per month.axis.bank+1","No airport lounge access in current public benefits.axis.bank+1","No dedicated fuel surcharge waiver mentioned; standard Axis fuel terms apply where relevant. Forex markup falls in 1.5–3.5% band, specific % only in MITC.axis.bank+1"
"IndianOil Axis Bank Premium Credit Card","Not stated (network not specified) axis.bank+1","₹1,000 + GST joining & annual.axis.bank+2","Accelerated: 6X EDGE Miles per ₹150 on IOCL fuel; 2X per ₹150 on grocery; base: 1X EDGE Mile on other eligible spends. Detailed caps (e.g. max accelerated miles per month) in MITC.axis.bank","Complimentary domestic lounges are mentioned in travel‑benefits write‑ups; exact number & spend criteria are MITC‑only.axis.bank","“Unlimited fuel surcharge waiver at all IOCL outlets” cited, but the underlying monthly transaction and amount caps remain in MITC.axis.bank Forex markup within 1.5–3.5% band; card‑specific % not summarised.axis.bank+1"
"Axis Bank ACE Credit Card","Not stated (Mastercard issue via Google Pay; network not explicitly written here) axis.bank+1","₹499 + GST joining & annual. Joining fee sometimes waived on spends ≥₹10,000 within 45 days; annual fee waived on ₹2 lakh annual spends (recent fee tables).axis.bank+2","5% cashback on utility bills & mobile recharges via Google Pay; 4% on Swiggy, Zomato & Ola; base 1.5% elsewhere. Combined monthly cap of ₹500 cashback on 5%+4% categories; base 1.5% uncapped in public summary.axis.bank+1","4 complimentary domestic airport lounge visits per year at select airports; current public marketing does not state spend threshold, though issuer MITC may apply quarterly spend criteria.axis.bank+1","1% fuel surcharge waiver at partner fuel stations (caps in MITC). Forex markup not card‑specific in public sources; portfolio band 1.5–3.5% applies.axis.bank+1"
"Axis Bank SELECT Credit Card","Not stated (Visa indicated in card art, but network not stated in text) axis.bank+1","₹3,000 + GST joining & annual; Nil for Burgundy customers; annual fee waiver on spends of around ₹8 lakh in previous anniversary year per recent fee tables.axis.bank+2","Retail spends: 20 EDGE Points/₹200 up to ₹20,000 monthly (≈2%); then 10 EDGE Points/₹200 (≈1%). Additional milestone Edge points annually.axis.bank","Complimentary domestic airport lounge access plus Priority Pass; public summaries do not list exact visit counts or spend triggers, which are in MITC.axis.bank","1% fuel surcharge waiver on select fuel spends; waiver cap and eligible networks in MITC. Forex markup in 1.5–3.5% range.axis.bank+1"
"Axis Bank Privilege Credit Card","Not stated (network not specified) axis.bank+1","For a limited time, joining fee Nil; standard annual fee ₹1,500 + GST, with Nil for certain priority customers and spend‑based waivers.axis.bank+2","10 EDGE Reward Points per ₹200 on most spends (≈1%). Milestone: extra EDGE points on spends of ₹2.5 lakh.axis.bank","Domestic lounge access at select airports; exact number of visits and any quarterly spend criteria are disclosed only in MITC/airport lounge list.axis.bank+1","Fuel surcharge waiver mentioned; specific %, monthly cap and eligible fuel networks are in MITC. Forex markup portfolio 1.5–3.5%.axis.bank+1"
"Axis Bank Rewards Credit Card","Not stated (network not specified) axis.bank+1","₹1,000 + GST joining & annual; waiver on annual fee when yearly spends reach around ₹2 lakh (per recent fee tables).axis.bank+2","Accelerated: 10X EDGE Points per ₹125 at departmental & apparel stores; base: 2 EDGE Points/₹125 elsewhere. Effective reward rate ≈2% at accelerated merchants, ≈0.4% base.axis.bank","Complimentary domestic lounge access (limited free visits per year) noted in card reviews; detailed visit caps/spend triggers are MITC‑only.axis.bank","Fuel surcharge waiver present; public summaries omit caps. Forex markup within 1.5–3.5% range.axis.bank+1"
