"Card name","Network (public info)","Joining & annual fee / waiver","Rewards: base vs accelerated (with caps)","Lounge access (domestic / international, spend criteria)","Fuel surcharge waiver & forex markup"
"HDFC Bank Millennia Credit Card","Network not explicitly stated in public overviews (issued on Visa/Mastercard variants).cardinsider+1","₹1,000 + GST joining; ₹1,000 + GST annual.cardinsider+1 Renewal fee generally waived on ₹1,00,000 annual spends (per latest fee grids).cardadvisor+1","5% cashback (as CashPoints) at 10 online partners like Amazon, Flipkart, Swiggy, Zomato, Myntra etc., capped at 1,000 CashPoints/month.cardinsider+2 1% cashback on other eligible spends, capped at 1,000 CashPoints/month; exclusions & detailed brand list in MITC.cardinsider+1","Recent comparisons note no complimentary airport lounge access on the current Millennia variant.cardadvisor+1","Standard 1% fuel surcharge waiver and caps follow HDFC’s generic schedule (check latest MITC for exact monthly limit).hdfc Forex markup is 3.5% on foreign currency transactions.cardinsider+2"
"HDFC Bank MoneyBack Plus Credit Card","Network not explicitly stated.cardinsider","₹500 + GST joining; ₹500 + GST annual.cardinsider Renewal fee waived on annual spends of ₹50,000.cardinsider+1","10X CashPoints/₹200 on Flipkart, Amazon, Swiggy, BigBasket and Reliance Smart Superstore; 2 CashPoints/₹200 on other online and offline retail.cardinsider Accelerated earnings are capped per statement cycle as per MITC.hdfc.bank+1","No complimentary airport lounge access highlighted; positioned as an entry‑level rewards card.cardinsider+1","1% fuel surcharge waiver at participating fuel stations up to a bank‑specified monthly cap (see MITC).hdfc+1 Forex markup 3.5%.cardinsider+2"
"HDFC Bank Freedom Credit Card","Network not explicitly stated.cardinsider+1","₹500 + GST joining & annual.cardinsider+1 Renewal fee typically waived on ₹50,000 annual spends.cardinsider","10X CashPoints on spends at BigBasket, Swiggy, BookMyShow, OYO and Uber; 1 CashPoint/₹200 on other eligible spends.cardinsider Caps and exclusions are defined per statement cycle in MITC.hdfc.bank+1","No lounge access in current marketing; card focuses on everyday rewards.cardinsider+1","Fuel surcharge waiver (1%) up to a monthly cap is noted in issuer terms; precise cap in MITC.hdfc+1 Forex markup 3.5%.cardinsider+2"
"HDFC Bank Regalia Gold Credit Card","Typically issued on Visa; network not always spelled out in summaries.cardinsider+1","₹2,500 + GST joining & annual.cardinsider+1 Renewal fee waiver at higher annual spends (≈₹3–5 lakh, per recent product tables).cardinsider+2","Base: 5 Reward Points/₹200 on most eligible retail spends, including utilities, insurance and education.hdfc.bank+1 Accelerated: 25 Reward Points/₹200 at Myntra, Marks & Spencer, Nykaa and Reliance Digital, plus 5X–10X on travel via SmartBuy, with bonus RP capped around 4,000/month.cardinsider+2","CardAdvisor notes ~12 domestic and 6 international lounge visits per year, with domestic lounge access from July 2026 gated behind ₹60,000 quarterly spends.cardadvisor+1 Exact lounge list and spend rules are in HDFC’s lounge/MITC documents.hdfc.bank+1","1% fuel surcharge waiver at eligible fuel stations within a monthly cap.hdfc+1 Forex markup is 2% (lower than standard 3.5%).cardinsider+2"
"HDFC Bank INFINIA Credit Card Metal Edition","Premium Visa/Mastercard; network not explicitly named in articles.cardinsider+1","₹12,500 + GST joining & annual; invite‑only for top relationship customers.cardinsider+1 Renewal fee may be waived at very high annual spends (≈₹10 lakh+, per premium‑card comparisons).cardadvisor+1","5 Reward Points/₹150 on all spends as base (~3.33% when 1 RP ≈₹1), with additional 5X–10X via SmartBuy on travel and vouchers, capped at 15,000 bonus RP per month.cardinsider+2","Unlimited domestic lounge access plus up to 6 international lounge visits/quarter via Priority‑style programmes for primary and add‑on cardholders.cardadvisor+2 Exact partner list and guest policies in MITC.","1% fuel surcharge waiver with higher transaction/monthly caps than mid‑tier cards.hdfc+1 Forex markup 2% on foreign currency transactions (≈2.36% effective with GST).cardinsider+2"
"HDFC Bank Diners Club Black Metal Edition Credit Card","Diners Club network.cardinsider+1","₹10,000 + GST joining & annual.cardinsider+1 Renewal fee generally waived on spends of around ₹8 lakh/year.cardinsider+2","5 Reward Points/₹150 as base (~3.33%); up to 10X on SmartBuy travel and select brands, capped at 10,000 bonus RP/month.cardinsider+2 Weekend dining also earns 2X base on some schedules.cardinsider+1","Unlimited domestic and international lounge access via Diners/DragonPass‑style partnerships for primary and add‑on cardholders.cardinsider+2","1% fuel surcharge waiver at participating outlets (caps per MITC).hdfc+1 Forex markup 2%.cardinsider+2"
"HDFC Bank Diners Club Privilege Credit Card","Diners Club.cardinsider+1","₹1,000 + GST joining & annual.cardinsider+1 Renewal fee waived on annual spends of about ₹3 lakh.cardinsider+1","Base: 4 Reward Points/₹200 (~1%).hdfc.bank Accelerated: 5X (20 RP/₹200) on Swiggy and Zomato, and SmartBuy accelerators for travel and vouchers with monthly RP caps.cardinsider+1","Complimentary domestic and international lounge access at Diners partner lounges with a limited number of free visits per year; exact count and any quarterly spend criteria in MITC.cardinsider+1","Standard 1% fuel surcharge waiver (cap per MITC).hdfc+1 Forex markup 2% as per low‑forex list.cardinsider"
"Tata Neu Infinity HDFC Bank Credit Card","Network not explicitly stated (issued on Visa/Mastercard variants).cardinsider+1","₹1,499 + GST joining & annual.cardinsider+1 Renewal fee often waived around ₹3–4 lakh annual spends.cardinsider+1","Up to 10% value back in NeuCoins on TataNeu app spends, 5% on Tata brand spends, and lower earn rates on other categories; NeuCoin rates & caps vary by channel and are detailed in Tata Neu/HDFC T&C.cardinsider+2","InvestingPro and other comparisons mention around 8 domestic and 4 international lounge visits per year for Infinity, subject to visit caps and network‑specific lounge lists.cardinsider+1","1% fuel surcharge waiver on eligible fuel transactions (caps per MITC).hdfc+1 Forex markup 2% (listed alongside Regalia Gold and premium cards).cardinsider"
"Tata Neu Plus HDFC Bank Credit Card","Network not explicitly stated.cardinsider","₹499 + GST joining & annual.cardinsider+1 Renewal fee waiver at moderate annual spends (~₹1–1.5 lakh, per aggregators).cardinsider+1","Lower NeuCoin earn: typically 2% on non‑Tata brands and 1% on Tata brands, with extra NeuCoins on TataNeu online spends as per current offers.cardinsider+1","Complimentary domestic lounge access at a small number of lounges (limited visits/year); exact list and spend criteria in MITC.cardinsider+1","Fuel surcharge waiver aligned with standard HDFC consumer schedule.hdfc+1 Forex markup 3.5% (not in low‑forex list).cardinsider+1"
"Swiggy Ornge HDFC Bank Credit Card","Network not explicitly stated (co‑brand often issued on Visa/Mastercard).cardinsider","₹500 + GST joining & annual.cardinsider+1 Renewal fee waiver around ₹2 lakh annual spends (per aggregator tables).cardinsider+1","5% cashback on Swiggy orders (food, Instamart, Dineout) and some online categories; 1% cashback on other eligible spends, with statement‑cycle caps detailed in Swiggy/HDFC T&C.cardinsider+1","No airport lounge benefits in current co‑brand marketing; card is focused on food delivery and online spends.cardinsider","Fuel surcharge waiver only as per generic HDFC schedule (if applicable); not a headline feature.hdfc+1 Forex markup 3.5%.cardinsider+1"
